1,239.5833,27.2334,0.0948,0.0046,169.8378,4.187
2,250.0825,46.7115,0.2328,0.0062,199.5393,5.2998
3,197.873,-1.3411,0.1824,0.0039,164.7122,4.2416
5,137.3007,10.9736,0.1705,0.0036,174.7042,4.9479
6,203.8337,41.0011,0.2317,0.0061,189.1812,5.6134
7,8.0343,18.107,0.3976,0.0126,248.3857,11.9954
8,340.8325,-9.5919,0.441,0.0106,299.4593,14.5538
9,150.5589,20.5379,0.3237,0.0124,151.3641,5.7609
11,126.3711,47.1336,0.1277,0.0036,131.5784,4.8063
13,139.4726,51.7271,0.2269,0.0059,153.6065,4.7398
14,260.6133,32.1326,0.2293,0.006,179.9519,7.0336
15,11.6222,20.468,0.104,0.0042,123.3559,3.702
16,198.7718,51.8174,0.2836,0.0098,152.5387,4.8882
18,257.4524,34.4579,0.085,0.0053,112.7842,3.7193
19,234.9187,34.4242,0.2338,0.0064,151.4861,5.1606
20,322.1096,1.6009,0.3873,0.0129,189.2879,7.4941
21,140.1251,30.4963,0.3051,0.0115,38.6908,5.1679
22,113.0846,31.6891,0.1805,0.004,120.0914,4.969
23,140.2189,30.4612,0.2942,0.0106,128.6494,5.6738
24,203.4964,20.3004,0.1666,0.004,26.4716,3.6555
25,203.6311,20.2049,0.1715,0.0039,73.3654,3.7887
26,180.1056,3.347,0.1381,0.0035,103.0211,3.4507
27,147.4658,17.1196,0.3832,0.013,185.3827,7.1144
29,328.4035,17.6955,0.2506,0.0077,145.8418,6.2303
31,130.7398,36.3665,0.2965,0.0108,139.9839,4.8585
32,213.6002,-0.3776,0.1379,0.0035,105.1262,3.7575
33,39.9697,-1.5719,0.3704,0.0135,174.6279,6.7114
34,347.9485,3.6855,0.3007,0.011,166.2072,6.2376
35,203.16,50.56,0.2909,0.0102,152.8743,5.6851
37,174.0544,40.0433,0.2946,0.0105,155.132,5.861
38,347.0031,-1.9287,0.3068,0.0115,161.951,6.1341
41,347.8917,3.6031,0.3047,0.0125,20.034,3.8739
42,250.843,13.363,0.1873,0.0042,111.213,4.185
43,210.2522,2.8638,0.2571,0.008,134.2785,5.2059
44,188.5673,15.2523,0.2798,0.0095,136.9024,6.0903
45,240.8291,3.279,0.237,0.0068,132.0818,5.5657
46,346.7812,16.5461,0.2477,0.0074,130.1749,5.2398
47,161.8709,15.2339,0.2086,0.0051,127.6578,5.3092
48,335.9872,-1.5833,0.0974,0.0048,90.7103,3.4849
49,141.0642,14.1284,0.136,0.0035,92.1137,3.8814
50,353.4685,7.0816,0.3005,0.0111,143.5535,5.6652
51,347.0926,-2.1922,0.3081,0.0117,137.7566,5.2502
54,132.533,36.0705,0.372,0.0134,160.1052,5.7607
55,227.5488,33.4865,0.1192,0.0037,99.8023,3.7355
56,183.077,27.5486,0.3539,0.0135,158.2441,6.0348
58,16.2307,0.0601,0.2761,0.0092,128.6799,4.8535
61,334.6681,-3.7799,0.1007,0.0046,85.4321,3.3803
62,340.492,17.551,0.3235,0.0126,126.3002,5.0165
63,192.3421,49.795,0.2872,0.0101,129.3054,5.5505
65,216.4861,37.8165,0.1705,0.0038,103.3414,4.0109
66,180.3008,23.0993,0.2686,0.0087,131.3495,5.8716
67,350.5615,28.5209,0.3875,0.0131,163.9342,7.0112
68,354.4155,0.2714,0.3006,0.0111,126.3307,4.8869
69,187.7222,34.6984,0.3359,0.0147,22.0171,3.9042
70,319.7045,0.5603,0.2647,0.0086,120.2897,4.5733
71,14.0011,26.3423,0.1961,0.0046,112.9215,4.1664
72,239.4267,35.5083,0.1583,0.0037,81.2369,2.7084
74,170.995,21.4805,0.1905,0.0043,113.5927,4.1257
75,154.393,59.5611,0.2891,0.0103,123.7678,4.9425
76,196.7083,46.5593,0.2291,0.0062,122.3796,5.3302
78,225.0813,21.3694,0.1598,0.0037,91.8239,3.5973
79,145.5046,8.9722,0.2089,0.0052,104.7601,4.3034
83,179.8119,49.7968,0.3632,0.0137,133.6225,5.469
84,187.6273,34.6337,0.3378,0.0133,133.3327,5.5515
85,353.6134,6.8628,0.3098,0.0118,137.6041,5.6701
86,329.0358,1.3909,0.2174,0.0056,115.4844,4.8527
88,201.7542,2.2054,0.2601,0.0083,115.164,4.4949
92,231.0309,29.889,0.1169,0.0038,96.7665,3.681
93,24.3202,7.8822,0.2841,0.0103,100.1989,5.9395
95,255.6898,34.0611,0.0967,0.0048,85.5236,2.8749
96,350.2673,29.1929,0.4944,0.0114,238.7751,22.0168
97,178.4716,42.8703,0.3329,0.0131,117.0556,5.6531
99,172.4773,20.4195,0.1346,0.0035,91.0917,3.4702
100,5.1548,28.6595,0.0965,0.0048,80.7183,2.7979
102,139.0732,-0.4016,0.3318,0.0132,110.9384,4.8346
103,117.7531,17.6316,0.1839,0.0041,112.2656,5.9778
105,163.5731,14.6512,0.2971,0.0107,125.0187,5.0951
108,201.7647,53.8312,0.3797,0.0146,34.8313,5.462
109,177.218,51.5522,0.1348,0.0037,76.3096,3.2387
110,336.5093,17.3797,0.1136,0.0041,74.2807,2.6683
111,338.5984,5.8383,0.1522,0.0037,95.3478,3.7068
113,201.8506,53.7823,0.386,0.0132,120.8236,6.4803
114,164.5987,56.795,0.1403,0.0035,90.1459,3.9173
116,4.9222,25.302,0.3709,0.0135,147.3368,6.7214
117,187.6803,10.5786,0.1685,0.0038,97.7733,3.9352
118,330.219,20.9693,0.152,0.0037,91.2595,5.0152
119,8.4714,-7.8695,0.3042,0.0115,128.1918,5.6971
120,37.9215,-4.8826,0.1893,0.0044,90.1916,3.7629
122,327.5889,-8.7884,0.3856,0.0137,150.6471,6.7868
123,229.0747,0.0891,0.1206,0.0039,77.8809,3.7427
124,0.7983,-6.0917,0.2475,0.0075,109.5502,4.4897
125,231.941,6.876,0.38,0.0136,131.8682,5.5988
126,34.9673,1.4978,0.3642,0.0139,127.0324,5.9324
128,127.4372,38.4651,0.3764,0.0134,145.6892,6.3935
129,29.9556,-8.833,0.4081,0.0124,167.7784,8.6552
131,245.1297,29.891,0.0934,0.005,77.3012,3.1112
132,218.8687,55.1312,0.1398,0.0035,86.1338,3.226
133,221.1325,31.2267,0.2384,0.0067,114.7979,4.6119
134,4.9111,3.5993,0.2773,0.0096,108.6044,4.7925
135,137.7733,61.1298,0.2896,0.0105,111.5028,4.7231
136,341.3656,28.1502,0.3608,0.0138,131.8072,5.9799
137,228.8088,4.3862,0.1022,0.0045,75.7299,2.8984
138,239.9746,22.1396,0.4025,0.0125,152.0505,7.6126
139,136.6872,10.3173,0.1405,0.0036,72.4959,2.7882
140,356.1572,3.0843,0.3554,0.0138,139.1753,6.4978
141,119.0555,30.2323,0.3914,0.0135,147.0317,7.4168
142,244.0424,6.9179,0.3327,0.013,120.5643,6.2749
143,349.8008,-2.4512,0.1104,0.0042,70.1008,3.4507
147,355.3209,-9.0199,0.2594,0.0083,104.4703,4.5127
150,186.713,21.8312,0.438,0.0107,178.5027,11.1959
151,234.1718,-2.0237,0.1384,0.0037,81.9539,3.2521
155,323.8282,1.4242,0.2345,0.0068,108.5129,5.1238
158,10.3271,25.4359,0.1374,0.0036,80.4437,3.9013
159,229.2244,-1.0851,0.1188,0.0043,53.5339,2.9121
160,187.2606,47.6224,0.2527,0.0077,111.6249,4.4643
161,143.8136,0.7961,0.3568,0.0143,118.6422,5.3018
164,344.1398,5.4311,0.1616,0.0044,22.6731,2.9791
165,217.61,24.6198,0.1374,0.0037,78.3233,3.1256
167,140.6212,54.9965,0.1828,0.0042,84.8219,3.6173
170,145.7394,46.9805,0.3594,0.0139,131.1512,5.7264
171,334.1654,26.195,0.3685,0.0139,127.8409,5.9325
172,210.9953,15.736,0.1807,0.0041,81.7251,3.3641
173,0.9325,10.0233,0.3715,0.0144,131.4258,6.063
176,204.2058,10.44,0.1569,0.0037,82.6862,3.7307
178,140.338,3.287,0.3499,0.0139,120.2744,5.2678
