INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,TS_MIN,TS_MAX,Y_MIN,Y_MAX
1561,PSZ2 G332.29-23.57,332.29334764975596,-23.573089028456536,281.7983946943265,-63.28982984641044,6.913449764251709,5.227672100067139,17.755800247192383,42.24420166015625,0.0,0.01919206604361534
1563,PSZ2 G332.87-19.26,332.87276625742646,-19.2659717378465,273.3002000895174,-61.458923606392126,1.596620798110962,12.169179916381836,1.5571800470352173,13.19480037689209,0.0012698807986453176,0.009641057811677456
1564,PSZ2 G333.59+73.19,333.59356978091625,73.19050488653218,201.5451042029595,12.42180665621324,3.7843894958496094,5.826355934143066,0.10000000149011612,8.752679824829102,0.0,0.002635191660374403
1565,PSZ2 G333.89-43.60,333.9050810485822,-43.62888084687762,324.4905959876756,-60.10725604932023,2.408602714538574,6.936204433441162,0.10000000149011612,10.771200180053711,0.0,0.004006761591881514
1566,PSZ2 G335.14+30.70,335.1426840054318,30.70120604110891,223.10250673894754,-24.498163233127773,3.766937732696533,7.976876258850098,0.10000000149011612,31.717300415039062,0.0,0.018203096464276314
1567,PSZ2 G335.58-46.44,335.57156524379525,-46.44942112501272,328.5348310041106,-57.8698654667359,1.677547812461853,13.129677772521973,5.386030197143555,24.364900588989258,0.002418620977550745,0.020339541137218475
1568,PSZ2 G336.01-51.27,336.01626520027645,-51.283678755386006,336.00293708381935,-55.30430980557729,3.77850341796875,5.377856254577637,0.10000000149011612,46.627498626708984,0.0,0.015002342872321606
1569,PSZ2 G336.60-55.43,336.6198626776088,-55.43453497816449,341.56211930860496,-52.71503429254886,4.3512864112854,13.480032920837402,3.5887200832366943,19.958999633789062,0.0016918170731514692,0.013141346164047718
1570,PSZ2 G336.95-45.75,336.9733932690487,-45.76138884916065,326.6219552886729,-57.26514789803553,5.302740097045898,6.001082897186279,0.10000000149011612,43.455299377441406,0.0,0.018636353313922882
1571,PSZ2 G337.01+38.30,337.01000308299996,38.304695568572164,220.2660343997981,-17.207050125923885,5.150473117828369,4.936923503875732,0.10000000149011612,20.34510040283203,0.0,0.006138783413916826
1572,PSZ2 G337.12-66.02,337.12218210992825,-66.02374607865045,353.772623985318,-45.707987485708394,2.3695783615112305,7.451010227203369,0.10000000149011612,8.090160369873047,0.0,0.002825366798788309
1573,PSZ2 G337.14-25.98,337.14152520565773,-25.986502220734693,288.62073386004477,-59.47291752827041,3.495276689529419,7.538723468780518,0.10000000149011612,15.796799659729004,0.0,0.0073173437267541885
1574,PSZ2 G337.23-12.59,337.21955328673596,-12.59099178653311,265.3288626243744,-54.78976059591342,5.596380710601807,5.127588748931885,0.10000000149011612,28.969900131225586,0.0,0.00816356111317873
1575,PSZ2 G337.90+23.58,337.89158925955184,23.606750021919197,229.77782823628104,-29.061873043933296,1.9459590911865234,6.879710674285889,0.10000000149011612,7.3340301513671875,0.0,0.005499045364558697
1576,PSZ2 G337.91-12.15,337.9151943933234,-12.154850057081944,265.25631834513774,-53.98345366436328,2.3674800395965576,6.676592826843262,0.10000000149011612,15.285300254821777,0.0,0.006339624524116516
1578,PSZ2 G337.95+22.70,337.97497220893933,22.70027463603178,230.4589125631546,-29.751469083702837,6.5850677490234375,5.391928195953369,0.10000000149011612,10.029500007629395,0.0,0.005104644224047661
1579,PSZ2 G337.99-33.61,337.9916378705142,-33.6166977878527,303.6793437184301,-59.217521234570384,2.3853282928466797,4.969411373138428,0.10000000149011612,6.400259971618652,0.0,0.002260616049170494
1582,PSZ2 G338.25+22.60,338.2399562279792,22.609877082366665,230.74762489815873,-29.680073264876043,3.7962148189544678,5.786842346191406,0.10000000149011612,23.433000564575195,0.0,0.015637647360563278
1583,PSZ2 G338.52+22.97,338.5540629675297,22.990789902189107,230.7560144992812,-29.201651629345964,2.2108516693115234,5.059614658355713,0.10000000149011612,5.189780235290527,0.0,0.003248957684263587
1584,PSZ2 G339.47+63.56,339.47578333564456,63.569865836772806,208.29267695166553,5.167323115457766,3.8393478393554688,5.813807487487793,0.10000000149011612,53.473201751708984,0.0,0.020092831924557686
1585,PSZ2 G339.63-69.34,339.611348930291,-69.34980231763655,356.19715983256543,-42.71901912807741,2.295633316040039,8.849261283874512,0.10000000149011612,6.4900898933410645,7.105198892531916e-05,0.002785648452118039
1586,PSZ2 G339.74-51.08,339.747460940071,-51.08538470340221,333.75897767466415,-53.35570174108392,5.296038627624512,4.608782768249512,0.10000000149011612,5.724800109863281,0.0,0.0016246343730017543
1587,PSZ2 G340.09+22.89,340.0980955313028,22.89126721579285,232.11948401212916,-28.424133504082192,3.1931560039520264,11.353947639465332,0.10000000149011612,11.78030014038086,0.0,0.015607533976435661
1589,PSZ2 G340.36+60.58,340.37436302285147,60.60229890656401,210.24565630256623,2.889571596539661,1.5420242547988892,14.423168182373047,0.7470710277557373,9.64072036743164,0.0014368928968906403,0.00879655871540308
1590,PSZ2 G340.46-52.20,340.4839192571385,-52.20197036853756,335.06670448343095,-52.44279207853269,3.832127094268799,5.635845184326172,0.10000000149011612,33.98860168457031,0.0,0.009993184357881546
1591,PSZ2 G340.88-33.36,340.868814077247,-33.36337973191526,303.07542452252176,-56.82602038352019,3.616758346557617,25.794483184814453,19.204200744628906,34.175498962402344,0.03057701699435711,0.07163892686367035
1592,PSZ2 G340.94+35.07,340.9409681956391,35.073199883550316,224.8938792262841,-18.17281254719962,2.5792956352233887,10.486775398254395,1.353469967842102,13.398500442504883,0.0009289274457842112,0.01037411019206047
1593,PSZ2 G340.97+34.18,340.9734252545749,34.18898408416798,225.456066957316,-18.878792446532284,3.4904892444610596,4.518579959869385,0.10000000149011612,10.004300117492676,0.0,0.0026212255470454693
1596,PSZ2 G341.19-36.12,341.191253647585,-36.12981125144553,308.0799728162378,-56.43833151347089,3.3869788646698,6.113245964050293,0.10000000149011612,9.03162956237793,0.0,0.0032734726555645466
1597,PSZ2 G341.44-40.19,341.4405009107771,-40.19214822258064,315.2556042294024,-55.71662460804764,2.0580201148986816,5.936930179595947,0.10000000149011612,32.36800003051758,0.0,0.008917905390262604
1599,PSZ2 G342.32+23.51,342.32569342721075,23.519897336433317,233.48717709543985,-26.658809401131208,6.959295749664307,4.58750057220459,19.0398006439209,40.960201263427734,0.0,0.03490417078137398
