sloan_ra sloan_dec sloan dr7_ra dr7_dec dr7
195.8794300 +19.7796631 Sloan 195.87943 +19.77966 DR7
178.3678300 +19.8501361 Sloan 178.36783 +19.85014 DR7
175.5120500 +20.9431461 Sloan 175.51205 +20.94315 DR7
124.2366700 +11.8483289 Sloan 124.23667 +11.84833 DR7
135.3329500 +14.2476061 Sloan 135.33295 +14.24761 DR7
136.9760700 +14.7250111 Sloan 136.97607 +14.72501 DR7
138.7419500 +15.3151739 Sloan 138.74195 +15.31517 DR7
140.0909900 +16.2055100 Sloan 140.09099 +16.20551 DR7
139.4070900 +17.0309469 Sloan 139.40709 +17.03095 DR7
154.0222900 +19.9434919 Sloan 154.02229 +19.94349 DR7
155.3489000 +20.6511239 Sloan 155.34890 +20.65112 DR7
161.2817300 +21.8394031 Sloan 161.28173 +21.83940 DR7
197.2533600 +20.8770450 Sloan 197.25336 +20.87704 DR7
197.3695200 +20.8417750 Sloan 197.36952 +20.84177 DR7
181.4410900 +21.6581111 Sloan 181.44109 +21.65811 DR7
194.6023500 +21.9340550 Sloan 194.60235 +21.93405 DR7
237.1058600 +14.2927800 Sloan 237.10586 +14.29278 DR7
150.6245500 +19.7906700 Sloan 150.62455 +19.79067 DR7
150.9295900 +19.9410339 Sloan 150.92959 +19.94103 DR7
138.3427400 +16.9436881 Sloan 138.34274 +16.94369 DR7
138.8688700 +17.4970219 Sloan 138.86887 +17.49702 DR7
143.8047800 +18.3287561 Sloan 143.80478 +18.32876 DR7
127.4241800 +14.7849500 Sloan 127.42418 +14.78495 DR7
134.6133300 +16.9790339 Sloan 134.61333 +16.97903 DR7
244.3085800 +13.6316339 Sloan 244.30858 +13.63163 DR7
190.1064900 +24.2879500 Sloan 190.10649 +24.28795 DR7
202.1207000 +25.0995839 Sloan 202.12070 +25.09958 DR7
150.5960100 +20.7518481 Sloan 150.59601 +20.75185 DR7
166.6398200 +24.1835200 Sloan 166.63982 +24.18352 DR7
172.9487300 +24.8965881 Sloan 172.94873 +24.89659 DR7
211.9497400 +21.8226689 Sloan 211.94974 +21.82267 DR7
