INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,PIPELINE,PIPE_DET,PCCS2,PSZ,IR_FLAG,Q_NEURAL,Y5R500,Y5R500_ERR,VALIDATION,REDSHIFT_ID,REDSHIFT,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MCXC,REDMAPPER,ACT,SPT,WISE_FLAG,AMI_EVIDENCE,COSMO,COMMENT
798,PSZ2 G166.62+42.13,166.6221327,42.1326851,137.3948493,51.54892602,1.632880926,7.961195946,3,111,FALSE,579,0,0.916104972,2.235750675,0.510246992,20,RXC J0909.3+5133,0.232250005,5.335296631,0.39175415,0.402832985,,,,,-10,3.790642738,TRUE,
800,PSZ2 G167.44-38.06,167.4431513,-38.06930445,47.30173852,12.61985997,2.366603136,7.656630993,3,111,TRUE,580,0,0.0195032,6.886871338,1.683820605,-1,,-1,0,0,0,,,,,-2,-1000,FALSE,"Point sources at: 217GHz,"
802,PSZ2 G167.66-65.59,167.6676609,-65.59357125,29.97755377,-8.858889934,2.428908587,6.717832565,1,111,FALSE,581,0,0.992367983,2.77052474,0.873073041,20,RXC J0159.8-0850,0.405000001,7.204626083,0.610352993,0.676693439,J0159.8-0850,RMJ015949.3-084958.9,,,3,-1000,TRUE,
803,PSZ2 G167.67+17.63,167.671254,17.63391352,99.52651007,47.78266285,2.367344856,12.08968544,2,111,TRUE,582,0,0.995114028,6.2167449,1.168679118,21,RXC J0638.1+4747,0.173999995,6.652367115,0.331189632,0.338752747,J0638.1+4747,,,,-10,4.741579056,TRUE,"Point sources at: 353GHz,"
804,PSZ2 G167.98-59.95,167.9881424,-59.95583743,33.68421564,-4.585618147,2.428780556,6.969009399,1,111,FALSE,583,0,0.974573016,3.51035285,1.073704958,20,RXC J0214.6-0433,0.139300004,4.30638361,0.376459122,0.390839815,J0214.6-0433,RMJ021441.1-043402.5,,,-10,-1000,TRUE,"X-ray under-luminous,"
805,PSZ2 G168.33+69.73,168.3365778,69.73755468,174.0505436,40.10321157,2.428572178,5.604365349,1,111,FALSE,584,0,0.998552978,2.24429822,1.209426761,20,ACO 1319,0.287999988,4.79287672,0.505692482,0.485984802,,RMJ113613.0+400235.8,,,-10,-100,FALSE,
806,PSZ2 G169.62+33.84,169.6237919,33.84212395,124.1776035,49.55022319,2.4288311,5.797132969,1,111,FALSE,585,0,0.948486984,1.996826887,0.704881608,20,WHL J124.192+49.54,0.346599996,5.915490627,0.594639778,0.657570362,,RMJ081646.0+493258.8,,,3,-1.028431892,FALSE,
807,PSZ2 G170.22+09.74,170.221633,9.744273215,90.83944344,42.23229024,0.279728174,16.25402069,2,111,FALSE,588,0,0.996077001,8.542061806,1.080919385,11,RXS J060313.4+421,0.228,10.75931358,0.451076508,0.430810928,,,,,-10,-100,FALSE,
809,PSZ2 G170.98+39.45,170.9882458,39.45580281,132.7602068,48.51041899,2.428244114,7.18353796,1,111,FALSE,589,0,0.960143983,1.810108185,0.543032706,24,RMJ085058.7+483002.6,0.537638485,8.076047897,0.648097992,0.702034473,,RMJ085058.7+483002.6,,,-3,27.90189743,TRUE,
810,PSZ2 G171.08-80.38,171.0883977,-80.38986054,20.49031967,-20.51599813,6.920295715,4.896565914,2,110,FALSE,-1,0,0.808507025,4.398350239,1.444308639,16,,-1,0,0,0,,,,,3,-1000,FALSE,
